from,to,year,type,pps
RBL,DT,2022,1,1
MR,RBL,2022,2,"2,1"
VfLB,TR,2022,1,0
TL,VfLB,2022,2,"1,26"
B04,GS,2022,1,"0,63"
XA,B04,2022,2,"1,73"
VfB,PM,2022,1,"0,56"
S04,FKr,2022,1,"0,6"
TR,S04,2022,2,"1,09"
BLab,VfB,2022,2,"0,55"
TSGH,ABr,2023,1,1
PM,TSGH,2023,2,"1,13"
FCB,JN,2023,1,"2,08"
TT,FCB,2023,2,"2,11"
VfB,BLab,2023,1,"0,55"
SH,VfB,2023,2,"1,63"
BSC,SS,2023,1,"0,79"
PD,BSC,2023,2,"1,17"
BMG,DFa,2023,1,"1,26"
GS,BMG,2023,2,NA
SGE,OG,2023,1,"1,47"
DT,SGE,2023,2,NA
